,AvgIpc,BalabanJ,BertzCT,Chi0,Chi1,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3
C=CC(=O)[O-],1.3787834934861756,3.204805417886435,55.91340299823497,4.284457050376173,2.270055610029662,9.65148445440323,-0.79,4.21,1.5215264797507788,3.21
CN(CC(=O)N1CCOCC1)Cc1c(Cl)cccc1NC(=O)c1ccccc1,2.7150999636791275,1.6722818391226042,822.900449742658,19.932510652501765,13.541713895658194,2297452.4268661495,-2.4099999999999997,20.327498720783453,9.684333995679145,5.3153148291018555
O=[N+]([O-])c1cccc(I)c1,1.8757135518200394,3.069899265759275,261.67965837655686,7.560477932315068,4.698377302757662,178.19278742290373,-0.65,7.456951871657753,2.9575169237325643,1.6629234524260401
OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,2.691466701899311,1.4889552519845977,830.8125322539555,18.63961743368832,13.241514740667455,2100937.375768987,-1.2999999999999998,19.035453872209203,8.802633732845203,4.413672412776684
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OCOC(=O)[C@@H]1N2C(=O)C[C@H]2S(=O)(=O)C1(C)C,3.215511924661865,1.1895220855528976,1397.8710333247573,29.361078361706785,18.607915023690236,367437010.6648285,-3.1700000000000004,28.361981887708566,9.447352562664303,4.081124834652247
C=C1C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O,2.8490086690686125,1.838163011917259,892.4994297108144,21.353006672199015,13.469722343256036,2313044.6112174178,-1.97,20.30877450554773,6.262456621886225,2.4686441733216795
CCOc1ccccc1C(N)=O,2.0543762587369407,2.9976300631078683,283.61195376207496,8.974691494688164,5.753218857624055,538.2465797890785,-1.51,8.585328884652048,3.7588733548338538,1.7515801479920028
CCN[C@@H]1C[C@H](N)[C@@H](OC2OC(CN)=CCC2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O.CCN[C@@H]1C[C@H](N)[C@@H](OC2OC(CN)=CCC2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,3.2646943541964717,2.474747339000619e-07,1447.8295672386953,48.672268670648876,31.243518690667287,89952495060898.67,-1.8000000000000003,55.13157953577971,24.353557157142802,12.935648241719438
Cc1ccccc1/N=N/c1ccc(/N=N/c2c(O)ccc3ccccc23)c(C)c1,2.7335520481169757,1.6113552576802552,1244.8199327647787,20.216967702877945,14.11419354072963,5055636.174191143,-3.8599999999999985,18.50084730171864,8.022491002467943,4.0369744054496755
CCC[N+](CCC)(CCC)CCC,2.0579401776765396,4.1856116450973095,80.1823291404663,10.156854249492381,6.242640687119286,611.2082327699322,-0.04,12.960000000000003,7.371934220572903,4.657834812595399
O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,2.926019310549555,1.2351788970505795,943.0512758628922,19.562267164498685,13.570516776351218,3340250.0123054343,-2.52,18.825316247948493,7.843864868710183,3.591345497196327
CCCC[n+]1ccc(C)cc1.O=S(=O)([O-])C(F)(F)F,2.263825897136925,3.6204544563668664e-07,468.9539319943331,15.104448006685086,8.575698502695488,6773.36708423368,-1.1500000000000004,17.849999999999998,7.44186301526399,7.7830519613130935
CC(=O)CC(=O)OC(C)(C)C,1.5345243669755788,3.799325584865783,164.66620909401436,9.068914100752346,4.810349069553741,108.9512300552661,-0.8600000000000001,10.14,3.5075532666587903,7.032242029834168
O=S(=O)([O-])c1cc(O)ccc1O,1.918740589009928,3.4344939089006497,394.39951382241213,9.353371151128522,5.409702168162849,341.5358248437672,-1.2700000000000002,8.823196644920783,2.6494116749656746,1.659417861263567
CC(=O)CC(C)(C)O,1.210810026106033,3.5512529243669313,89.19188266301451,6.784457050376173,3.4165022194363885,23.005390496014627,-0.37,7.63,2.266093076218851,5.630000000000001
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,2.93722921686028,4.011051830097867e-07,1309.641217372985,31.122745096813752,19.962251959848466,852372075.8246509,-4.18,34.023425047133614,16.933165514938533,11.004929151284108
